Allegro Report
I:/BD_Boards/DLI_4100_2510300-Rev-D/Board/2510300_REV-D.brd
Tue Apr 12 06:54:07 2016

Net Name,Net Pins
DDR2_A14,J15.86 RP6.1 U5.K21
DDR2_A15,J15.84 RP6.2 U5.U10
DDR2_A2,J15.100 RP7.3 U5.K23
DDR2_A3,J15.99 RP8.3 U5.L23
DDR2_A4,J15.98 RP7.2 U5.K14
DDR2_A5,J15.97 RP8.1 U5.K13
DDR2_A6,J15.94 RP7.1 U5.J22
DDR2_A7,J15.92 RP6.4 U5.K22
DDR2_A8,J15.93 RP5.4 U5.J12
DDR2_A9,J15.91 RP5.3 U5.K12
DDR2_BA0,J15.107 RP10.2 U5.P5
DDR2_BA1,J15.106 RP8.2 U5.T4
DDR2_BA2,J15.85 RP5.1 U5.U5
DDR2_CAS_B,J15.113 RP10.3 U5.U7
DDR2_CK0_N,C177.2 J15.32 U5.L19
DDR2_CK0_P,C177.1 J15.30 U5.L20
DDR2_CK1_N,C264.2 J15.166 U5.K18
DDR2_CK1_P,C264.1 J15.164 U5.K17
DDR2_CKE0,J15.79 R154.1 U5.R11
DDR2_CKE1,J15.80 R157.1 U5.T10
DDR2_CS0_B,J15.110 RP9.1 U5.U8
DDR2_CS1_B,J15.115 RP10.4 U5.U11
DDR2_D0,J15.5 U5.J27
DDR2_D1,J15.7 U5.K24
DDR2_D10,J15.35 U5.H25
DDR2_D11,J15.37 U5.H24
DDR2_D12,J15.20 U5.F26
DDR2_D13,J15.22 U5.K28
DDR2_D14,J15.36 U5.L28
DDR2_D15,J15.38 U5.K27
DDR2_D16,J15.43 U5.N28
DDR2_D17,J15.45 U5.N25
DDR2_D18,J15.55 U5.P25
DDR2_D19,J15.57 U5.P26
DDR2_D2,J15.17 U5.L25
DDR2_D20,J15.44 U5.M28
DDR2_D21,J15.46 U5.P24
DDR2_D22,J15.56 U5.R24
DDR2_D23,J15.58 U5.P27
DDR2_D24,J15.61 U5.G10
DDR2_D25,J15.63 U5.F10
DDR2_D26,J15.73 U5.J11
DDR2_D27,J15.75 U5.H10
DDR2_D28,J15.62 U5.J9
DDR2_D29,J15.64 U5.E9
DDR2_D3,J15.19 U5.M25
DDR2_D30,J15.74 U5.L11
DDR2_D31,J15.76 U5.K11
DDR2_D32,J15.123 U5.G6
DDR2_D33,J15.125 U5.F8
DDR2_D34,J15.135 U5.J7
DDR2_D35,J15.137 U5.K7
DDR2_D36,J15.124 U5.E7
DDR2_D37,J15.126 U5.E8
DDR2_D38,J15.134 U5.M10
DDR2_D39,J15.136 U5.M11
DDR2_D4,J15.4 U5.J25
DDR2_D40,J15.141 U5.M7
DDR2_D41,J15.143 U5.M8
DDR2_D42,J15.151 U5.P7
DDR2_D43,J15.153 U5.P9
DDR2_D44,J15.140 U5.N7
DDR2_D45,J15.142 U5.N8
DDR2_D46,J15.152 U5.N10
DDR2_D47,J15.154 U5.P11
DDR2_D48,J15.157 U5.H5
DDR2_D49,J15.159 U5.J6
DDR2_D5,J15.6 U5.M26
DDR2_D50,J15.173 U5.K6
DDR2_D51,J15.175 U5.L6
DDR2_D52,J15.158 U5.F5
DDR2_D53,J15.160 U5.G5
DDR2_D54,J15.174 U5.F4
DDR2_D55,J15.176 U5.E4
DDR2_D56,J15.179 U5.L5
DDR2_D57,J15.181 U5.L4
DDR2_D58,J15.189 U5.H4
DDR2_D59,J15.191 U5.R6
DDR2_D6,J15.14 U5.L24
DDR2_D60,J15.180 U5.M5
DDR2_D61,J15.182 U5.J4
DDR2_D62,J15.192 U5.T5
DDR2_D63,J15.194 U5.U6
DDR2_D7,J15.16 U5.L26
DDR2_D8,J15.23 U5.G25
DDR2_D9,J15.25 U5.G26
DDR2_DM0,J15.10 U5.J24
DDR2_DM1,J15.26 U5.F25
DDR2_DM2,J15.52 U5.N24
DDR2_DM3,J15.67 U5.J10
DDR2_DM4,J15.130 U5.F9
DDR2_DM5,J15.147 U5.N9
DDR2_DM6,J15.170 U5.J5
DDR2_DM7,J15.185 U5.K4
DDR2_DQS0_N,J15.11 U5.H27
DDR2_DQS0_P,J15.13 U5.G27
DDR2_DQS1_N,J15.29 U5.G28
DDR2_DQS1_P,J15.31 U5.H28
DDR2_DQS2_N,J15.49 U5.F28
DDR2_DQS2_P,J15.51 U5.E28
DDR2_DQS3_N,J15.68 U5.L9
DDR2_DQS3_P,J15.70 U5.K9
DDR2_DQS4_N,J15.129 U5.G8
DDR2_DQS4_P,J15.131 U5.H9
DDR2_DQS5_N,J15.146 U5.E6
DDR2_DQS5_P,J15.148 U5.F6
DDR2_DQS6_N,J15.167 U5.N5
DDR2_DQS6_P,J15.169 U5.N4
DDR2_DQS7_N,J15.186 U5.R4
DDR2_DQS7_P,J15.188 U5.P4
DDR2_ODT0,J15.114 R52.1 U5.T8
DDR2_ODT1,J15.119 R204.1 U5.T9
DDR2_RAS_B,J15.108 RP8.4 U5.P6
DDR2_SA0,J15.198 R259.1
DDR2_SA1,J15.200 R257.2
DDR2_SCL,J15.197 R11.1 R12.2 U5.P29
DDR2_SDA,J15.195 R17.1 R18.2 U5.U28
DDR2_WE_B,J15.109 RP10.1 U5.T6
DIP_SW0,R46.2 SW1.16 U5.G20
DIP_SW1,R48.2 SW1.15 U5.G21
DIP_SW2,R55.2 SW1.14 U5.F20
DIP_SW3,R62.2 SW1.13 U5.G22
DIP_SW4,R73.2 SW1.12 U5.H15
DIP_SW5,R77.2 SW1.11 U5.H14
DIP_SW6,R82.2 SW1.10 U5.H13
DIP_SW7,R84.2 SW1.9 U5.J14
DMDSPARE0,J13.12D R100.2 TP27.1
DMDSPARE1,J13.11B R101.2 TP30.1
DMDSPARE2,J14.11B R111.2 TP19.1
DMDSPARE3,J14.12D R109.2 TP23.1
DMD_A_RESET,R94.1 U11.AD14
DMD_A_RESET_FILT,C126.1 J13.11F R94.2
DMD_A_SCPCLK_FILT,C137.1 J13.10B R105.2
DMD_A_SCPDO_FILT,C128.1 J13.10A R96.2
DMD_A_SCPENZ,R98.1 U11.AB14
DMD_A_SCPENZ_FILT,C132.1 J13.11C R98.2
DMD_B_RESET,R258.1 U11.AA12
DMD_B_RESET_FILT,C283.1 J14.11F R258.2
DMD_B_SCPCLK_FILT,C129.1 J14.10B R97.2
DMD_B_SCPDO_FILT,C123.1 J14.10A R71.2
DMD_B_SCPENZ,R99.1 U11.AC14
DMD_B_SCPENZ_FILT,C134.1 J14.11C R99.2
DMD_TYPE_0,U5.AC15 U11.AA17
DMD_TYPE_1,U5.AD15 U11.AC16
DMD_TYPE_2,U5.AE22 U11.AB17
DMD_TYPE_3,U5.AE19 U11.AD15
DONE_DDC,D3.2 R54.2 U8.B4 U11.K10
DVALID_A_DPN,R200.2 U5.AJ27 U11.D20
DVALID_A_DPP,R200.1 U5.AK26 U11.D21
DVALID_B_DPN,R197.2 U5.AC9 U11.C8
DVALID_B_DPP,R197.1 U5.AD9 U11.D8
DVALID_C_DPN,R236.2 U5.Y29 U11.L19
DVALID_C_DPP,R236.1 U5.Y28 U11.L20
DVALID_D_DPN,R237.2 U5.AA5 U11.L3
DVALID_D_DPP,R237.1 U5.AA6 U11.L4
DXN_0,TP17.1 U11.R13
DXP_0,TP14.1 U11.R14
ECP2_FINISHED,D17.1 U11.Y18
ECP2_M_TP0,J8.2 U11.AD11
ECP2_M_TP1,J8.4 U11.AD10
ECP2_M_TP10,J8.22 U11.AB10
ECP2_M_TP11,J8.24 U11.AA10
ECP2_M_TP12,J8.26 U11.Y10
